stream,condition,parity,candidate,mode,expected,completed,r_nrmse,r_coverage95,r_mean_interval_width,clean_EEG_nrmse,clean_EEG_coverage95,clean_EEG_mean_interval_width,clean_HbO_nrmse,clean_HbO_coverage95,clean_HbO_mean_interval_width,clean_HbR_nrmse,clean_HbR_coverage95,clean_HbR_mean_interval_width,mean_log_likelihood
discovery,true_g,1,g-0.6_w0.5,fNIRS_only,8,8,1.4691941137379958,0.6328125,0.18595104690607628,1.4691941137379958,0.6328125,0.18595104690607628,0.20553581190986292,0.927734375,0.036406870866860216,0.21432961608247258,0.943359375,0.012006013046970104,276.8466014960963
discovery,true_g,0,g-0.3_w-0.5,full,8,8,0.6303340897444979,0.921875,0.16435462222720268,0.6303340897444979,0.921875,0.16435462222720268,0.2698409772850089,0.78515625,0.028990231830470455,0.27100787517323266,0.865234375,0.010527435942431641,327.5359971207188
discovery,true_g,0,g-0.3_w-0.5,EEG_only,8,8,0.6518462380540784,0.931640625,0.1722343827523165,0.6518462380540784,0.931640625,0.1722343827523165,0.8159044935167936,0.84375,0.08928847172583645,0.7871139077412761,0.84765625,0.028537877516781635,46.18515592339893
discovery,true_g,0,g-0.3_w-0.5,fNIRS_only,8,8,0.9175155675953854,0.884765625,0.23907761084306228,0.9175155675953854,0.884765625,0.23907761084306228,0.25947981427394057,0.873046875,0.03091973836777705,0.2628210095345787,0.900390625,0.010873882957859531,281.38955904010123
discovery,true_g,1,g-0.3_w-0.5,full,8,8,0.8369749921509024,0.826171875,0.16398272680302944,0.8369749921509024,0.826171875,0.16398272680302944,0.26018189850740014,0.71875,0.030201112756287948,0.2641862669306801,0.83203125,0.010893069970977476,315.4137111690926
discovery,true_g,1,g-0.3_w-0.5,EEG_only,8,8,0.6730391794111774,0.923828125,0.1714632756992892,0.6730391794111774,0.923828125,0.1714632756992892,0.9929317836026637,0.546875,0.09151241375046981,0.9496359663351424,0.65625,0.029139343837837832,48.29674533314375
discovery,true_g,1,g-0.3_w-0.5,fNIRS_only,8,8,1.387655394833917,0.736328125,0.23985407821103794,1.387655394833917,0.736328125,0.23985407821103794,0.23933533684593467,0.779296875,0.03149685639233035,0.24145829067422728,0.91015625,0.011208707661400936,275.8147214153787
discovery,true_g,0,g-0.3_w-0.25,full,8,8,0.5797546298568702,0.9375,0.15914875787470245,0.5797546298568702,0.9375,0.15914875787470245,0.23216899533055074,0.8828125,0.02958570294202386,0.2412748531750415,0.912109375,0.010646898579277461,330.82001538313233
discovery,true_g,0,g-0.3_w-0.25,EEG_only,8,8,0.6518462380540783,0.931640625,0.17223438275231645,0.6518462380540783,0.931640625,0.17223438275231645,0.7153592516084897,0.83984375,0.0816869319166938,0.6952393186586271,0.86328125,0.0257906887311046,46.18515592339893
discovery,true_g,0,g-0.3_w-0.25,fNIRS_only,8,8,0.7858850666669217,0.916015625,0.21850806178646912,0.7858850666669217,0.916015625,0.21850806178646912,0.24553710004937618,0.91015625,0.03214990195015318,0.2561657279095648,0.908203125,0.011085544247410895,282.6320792180298
discovery,true_g,1,g-0.3_w-0.25,full,8,8,0.8428811358264481,0.798828125,0.15891894419450098,0.8428811358264481,0.798828125,0.15891894419450098,0.22327711451065718,0.8125,0.030657925587748113,0.24339098076774893,0.880859375,0.011016069897383993,319.55945197872575
discovery,true_g,1,g-0.3_w-0.25,EEG_only,8,8,0.6730391794111774,0.923828125,0.1714632756992892,0.6730391794111774,0.923828125,0.1714632756992892,0.9014557339911832,0.546875,0.08391326724199395,0.8718776013246924,0.68359375,0.026421890524179648,48.296745333143754
discovery,true_g,1,g-0.3_w-0.25,fNIRS_only,8,8,1.16458034299867,0.791015625,0.2192619125651255,1.16458034299867,0.791015625,0.2192619125651255,0.21849653219579368,0.84765625,0.03252989950184487,0.2279252458654455,0.92578125,0.011386691084952225,278.74235735947957
discovery,true_g,0,g-0.3_w0,full,8,8,0.5564598980870498,0.94140625,0.1535883444653972,0.5564598980870498,0.94140625,0.1535883444653972,0.2148149018038225,0.94140625,0.03073524458059751,0.2299240130482241,0.923828125,0.01083222619814488,332.3338810699199
discovery,true_g,0,g-0.3_w0,EEG_only,8,8,0.6518462380540783,0.931640625,0.1722343827523165,0.6518462380540783,0.931640625,0.1722343827523165,0.6790453405732461,0.86328125,0.08079131912435358,0.6568596337623879,0.890625,0.025093203153030336,46.18515592339894
discovery,true_g,0,g-0.3_w0,fNIRS_only,8,8,0.7450788143005316,0.935546875,0.2012255726405972,0.7450788143005316,0.935546875,0.2012255726405972,0.24248949379864404,0.923828125,0.03367616663394224,0.2574441768873056,0.9140625,0.0113255925719849,283.22537270941956
discovery,true_g,1,g-0.3_w0,full,8,8,0.8390326944178479,0.77734375,0.15344166699296524,0.8390326944178479,0.77734375,0.15344166699296524,0.19552772070794336,0.884765625,0.03167975391325924,0.23158502904716577,0.921875,0.011218802265008446,321.7498967529491
discovery,true_g,1,g-0.3_w0,EEG_only,8,8,0.6730391794111774,0.923828125,0.17146327569928912,0.6730391794111774,0.923828125,0.17146327569928912,0.8461233054542274,0.6015625,0.0830374899638459,0.8297710616557956,0.69921875,0.025769829607110502,48.29674533314375
discovery,true_g,1,g-0.3_w0,fNIRS_only,8,8,1.045843612237765,0.802734375,0.201903776411345,1.045843612237765,0.802734375,0.201903776411345,0.20409982462957246,0.88671875,0.03387397675282798,0.2159054285639406,0.931640625,0.011609837331206678,280.26773425270005
discovery,true_g,0,g-0.3_w0.25,full,8,8,0.6019774241403069,0.9140625,0.1482974384956787,0.6019774241403069,0.9140625,0.1482974384956787,0.22635198753111085,0.955078125,0.032457641611207864,0.23734588804850898,0.9140625,0.011086444326048276,331.6158807256772
discovery,true_g,0,g-0.3_w0.25,EEG_only,8,8,0.6518462380540782,0.931640625,0.17223438275231642,0.6518462380540782,0.931640625,0.17223438275231642,0.7449961007236758,0.8671875,0.08341517609989876,0.7029672805461182,0.8828125,0.025411976642178077,46.18515592339893
